#,Print,Categoria,Página,Insight
1,/gummy/3.png,Prova social,Home,UGC depoimentos no topo
2,/gummy/4.png,Encontrabilidade,Home,Banners de categorias
3,/gummy/5.png,Encontrabilidade,Home,Mais vendidos com sub filters bõtoes
4,/gummy/6.png,Ofertas,Home,Banner de grupo de wpp vip
5,/gummy/7.png,Prova social,Home,Farmácias
6,/gummy/8.png,Encontrabilidade,Menu,Menu com cards
7,/gummy/9.png,Encontrabilidade,Menu,Menu com cards
8,/gummy/10.png,Prova social,PDP,UGC vídeos no topo
9,/gummy/11.png,Prova social,PDP,Descrição dos vídeos (reviews)
10,/gummy/12.png,Clareza,PDP,Mini FAQ no topo
11,/gummy/12.png,Prova social,PDP,Press logos no topo
12,/gummy/13.png,Prova social,PDP,Antes e depois
13,/gummy/14.png,Clareza,PDP,Benefícios claros em 1 seção
14,/gummy/15.png,Prova social,PDP,Dados estatísticos
15,/gummy/15.png,Prova social,PDP,Reviews com vídeos
16,/gummy/17.png,Acessibilidade,Cart,Modal que abre para seleção de opções
17,/gummy/18.png,AOV Booster,Cart,Adicionar recomendação de up-sell
18,/gummy/19.png,Clareza,CP,Adicionar header nas collections
19,/gummy/20.png,Encontrabilidade,CP,Adicionar botões com sub-filters
20,/gummy/21.png,,,
