#,Categoria,Bench,Página,Insight,Descrição,Print 1,Print 2,Print 3
1,Clareza,gummy.com.br / essentialnutrition.com.br,Home,Hero section claro com CTA,Banners com comunicação clara e CTA para atrair cliques,/__gummy/1.png,/_essential/1.png,/_maismu/1.png
2,Confiança,gummy.com.br,Home,UGC & Depoimentos,Depoimentos e UGC no topo em formato de reels,/_gummy/3.png,,
3,UX,gummy.com.br,Home,Mais vendidos com sub filters bõtoes,Sub-filters para a pessoa escolher a categoria sem scrollar a página,/_gummy/5.png,,
4,Benefícios,gummy.com.br,Home,Banner de grupo de Wpp,Banner para as pessoas entrarem no grupo VIP e aumentar a base,/_gummy/6.png,,
5,Confiança,gummy.com.br,Home,Farmácias,Logos de farmácias credenciadas para aumentar credibilidade,/_gummy/7.png,,
6,UX,gummy.com.br / desincha.com.br,Menu,Menu com cards,Banners no Menu estilizados ao invés de apenas textos,/_gummy/8.png,/_gummy/9.png,
7,Clareza,gummy.com.br,PDP,Mini FAQ no topo,FAQ no topo ajuda usuários a entenderem o produto cedo,/_gummy/12.png,,
8,Confiança,gummy.com.br / desincha.com.br,PDP,Logos de imprensa,Logos de imprensa claros e no topo,/_gummy/12.png,/_desincha/3.png,
9,Confiança,gummy.com.br,PDP,Antes e depois,Seção iterativa que permite usuários verem resultados,/_gummy/13.png,,
10,AOV Booster,gummy.com.br,PDP,Benefícios de uso recorrente,Beneficios do uso diário para insitgar usuários a usarem sempre,/_gummy/14.png,,
11,Confiança,gummy.com.br,PDP,Dados estatísticos,Dados que apresentem a eficácia do produto em nossos clientes,/_gummy/15.png,,
12,Confiança,gummy.com.br,PDP,Reviews com vídeos,"Mais reviews com vídeos na seção de testimonials, não só texto",/_gummy/15.png,,
13,UX,gummy.com.br,Cart,Seleção de SKU com modal,Modal que abre para seleção de opções com one-click,/_gummy/17.png,,
14,AOV Booster,gummy.com.br / essentialnutrition.com.br / desincha.com.br,Cart,Up-sell no carrinho,Adicionar recomendação de up-sell,/_gummy/18.png,/_essential/12.png,/_desincha/8.png
15,Clareza,gummy.com.br / desincha.com.br,CP,Hero section das coleções,Adicionar header nas collections com descrição ou promoções,/_gummy/19.png,/_desincha/3.png,
