id,date,"Qual é o seu gênero?
","Qual é a sua faixa etária?
"
018af8b7-e945-4bf7-9838-cd39507fed36,2026-03-25 16:54:38.264685+00,Feminino,35 a 44 anos
01a2513b-a588-4a94-9106-69eb8384a00c,2026-03-25 16:50:41.115053+00,Feminino,35 a 44 anos
04b71327-a4ef-4b4a-b80e-759a6e1ce633,2026-03-25 18:49:25.318787+00,Feminino,35 a 44 anos
0ec2bfb1-a12c-4808-974b-2d36a1abde39,2026-03-25 16:10:42.933926+00,Feminino,45 a 54 anos
17ec2c8b-548b-4247-acd3-7c77ab72468e,2026-03-26 01:21:42.330114+00,Feminino,35 a 44 anos
1d8b046e-1363-4315-809c-cf81ef13d077,2026-03-31 22:45:37.964674+00,Feminino,25 a 34 anos
2d927dc9-68ee-4940-9efe-2d7b57638ada,2026-03-25 22:45:06.250707+00,Masculino,25 a 34 anos
2ee4bf7e-f761-4c6c-9289-0be2873f3526,2026-03-30 15:43:42.407181+00,Feminino,18 a 24 anos
311858c2-cd12-4416-aacc-c22e5a21b86b,2026-03-25 16:50:12.848638+00,Feminino,55 anos ou mais
31215bdf-0f6c-43d7-b0b8-1bac0c22f585,2026-03-25 16:07:38.283175+00,Masculino,45 a 54 anos
31339e2d-cb6f-4762-8452-2f4a0a829d15,2026-03-25 16:07:39.250479+00,Feminino,18 a 24 anos
37c08512-ab5b-4fb3-b759-733bbbf7bbf9,2026-03-25 16:34:25.667759+00,Feminino,35 a 44 anos
3a1cc41a-5048-418a-9cd6-088aac38ba96,2026-03-25 16:27:56.152985+00,Feminino,55 anos ou mais
42ac746e-5115-4e51-b0bd-ebbac0cb5b1f,2026-03-25 16:20:06.434432+00,Feminino,25 a 34 anos
43cd54e5-f6d8-473e-b7db-34d2d24b8bd8,2026-03-26 12:01:38.386856+00,Feminino,55 anos ou mais
473707ff-d607-44db-8a50-51b539392cba,2026-03-30 15:57:44.842609+00,Feminino,45 a 54 anos
4c9cdf35-7442-4655-801e-9cb4a11cbcde,2026-03-25 20:29:06.030605+00,Feminino,25 a 34 anos
4d7cf22d-2c34-4e7a-b546-6bc07be137b6,2026-03-30 18:12:16.45943+00,Feminino,25 a 34 anos
546c16cd-0bf0-44f2-955e-f22ceece54ed,2026-03-25 16:36:25.73064+00,Feminino,25 a 34 anos
585adfcb-5ea3-4af6-a8e4-faf09fa2074c,2026-03-26 12:24:53.21131+00,Masculino,35 a 44 anos
59cbc493-7ab2-4183-bebf-d5c04c2e9593,2026-03-26 02:57:07.501389+00,Feminino,45 a 54 anos
63fd9bd4-36db-4660-abe8-463a3653a7ee,2026-03-25 16:19:54.979085+00,Feminino,25 a 34 anos
6b39e5cc-fc69-4c67-a563-e6020761b88d,2026-03-26 17:29:13.149499+00,Feminino,55 anos ou mais
7213c267-cafb-4694-92cc-6b29c07fea6c,2026-03-31 18:59:33.694762+00,Feminino,45 a 54 anos
74f671ee-986f-42de-a7e0-95f4c916255e,2026-03-30 14:52:48.289205+00,Feminino,35 a 44 anos
79b58b8f-0eac-454d-be54-dd5db144345e,2026-03-30 19:50:54.810404+00,Feminino,55 anos ou mais
7a2d1bc0-4a82-4cc3-acb9-ac2ddda97517,2026-03-27 19:11:16.774864+00,Feminino,55 anos ou mais
7e209859-7fe2-4a48-865e-a048c666ee81,2026-03-30 20:22:43.450071+00,Feminino,45 a 54 anos
80b3a860-af3e-452e-8301-8f193d9d1a6a,2026-03-25 16:27:07.630401+00,Feminino,35 a 44 anos
835d9894-dda2-4a82-b9c2-da5ea250f1e9,2026-03-25 18:34:40.212849+00,Feminino,45 a 54 anos
85810b0d-5908-4e54-ba8e-d5739047ebe3,2026-03-25 18:12:50.540293+00,Feminino,45 a 54 anos
88ca17e6-47a8-43c5-917c-dee23b121507,2026-03-25 17:25:12.84422+00,Feminino,Menos de 18 anos
8dd19dce-58a7-4323-8feb-55d6ac5b82fc,2026-03-25 16:46:47.660668+00,Feminino,25 a 34 anos
9268dcb7-0e5d-4762-9e42-5256d9d67b34,2026-03-26 10:03:40.157126+00,Feminino,18 a 24 anos
98de8d21-f7d1-4a13-9e9a-7abc2fefd090,2026-03-25 19:42:46.080654+00,Feminino,35 a 44 anos
9998906d-922c-4d73-bdab-f5cacab2782a,2026-03-25 19:37:19.61273+00,Masculino,55 anos ou mais
9f55c591-2488-4183-b0b0-26162b11be3f,2026-03-25 17:53:39.270739+00,Masculino,35 a 44 anos
9fb47ca2-b1cc-4820-88ba-0f46d5cee68d,2026-03-25 18:43:25.582546+00,Feminino,25 a 34 anos
a166dbb7-dd6f-411a-b423-b6e17ed64ce1,2026-03-26 18:12:14.869829+00,Feminino,25 a 34 anos
a3a1d9cb-3fa4-4948-971c-9ba7f11481f5,2026-03-25 18:11:03.293306+00,Feminino,35 a 44 anos
a535c73a-ba2b-4645-a9fd-411b33d84278,2026-03-30 13:00:11.028406+00,Feminino,25 a 34 anos
a6f54207-ef90-4875-8da0-2535a1e7b047,2026-03-26 19:38:36.277162+00,Feminino,35 a 44 anos
acab36b8-7d76-4ca2-acb0-f464aee55776,2026-03-26 18:56:51.551195+00,Feminino,35 a 44 anos
ad365cc9-ddcc-4bdd-b2c9-b7b393ebb404,2026-03-26 18:05:18.307484+00,Masculino,55 anos ou mais
bad76c9a-17f4-4f82-8b12-244e42db79d5,2026-03-25 16:09:05.16012+00,Feminino,35 a 44 anos
bff8c1dd-7922-4ea9-b6bf-f89a7efa4fee,2026-03-25 16:21:40.446096+00,Feminino,45 a 54 anos
bff974e1-a0ff-477e-9e23-1cfaea89b52e,2026-03-25 16:56:08.244683+00,Feminino,55 anos ou mais
